Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
CS 332 (P),2019-08-05,8:30:00,2019-08-05,9:30:00,FALSE,Compiler Design,CSE LAB-I,FALSE
CS 332 (P),2019-08-05,9:30:00,2019-08-05,10:30:00,FALSE,Compiler Design,CSE LAB-I,FALSE
CS 4101 (L),2019-08-05,10:30:00,2019-08-05,11:30:00,FALSE,Linear & Non-Linear Optimisation,LT 202,FALSE
CS 261 (P),2019-08-05,11:30:00,2019-08-05,12:30:00,FALSE,Computer Networks,FRL,FALSE
CS 261 (P),2019-08-05,12:30:00,2019-08-05,13:30:00,FALSE,Computer Networks,FRL,FALSE
EL 302 (L),2019-08-05,14:30:00,2019-08-05,15:30:00,FALSE,Digital Image Processing,LT 212,FALSE
CS 261 (L),2019-08-06,10:30:00,2019-08-06,11:30:00,FALSE,Computer Networks,LT 211,FALSE
CS 332 (L),2019-08-06,11:30:00,2019-08-06,12:30:00,FALSE,Compiler Design,LT 201,FALSE
CS 4101 (L),2019-08-06,12:30:00,2019-08-06,13:30:00,FALSE,Linear & Non-Linear Optimisation,LT 212,FALSE
CS 301 (L),2019-08-06,14:30:00,2019-08-06,15:30:00,FALSE,Software Engineering,LT 211,FALSE
EL 302 (L),2019-08-06,15:30:00,2019-08-06,16:30:00,FALSE,Digital Image Processing,LT 212,FALSE
FIN 212 (L),2019-08-06,16:30:00,2019-08-06,17:30:00,FALSE,Indian Finance System,CR 111,FALSE
CS 301 (L),2019-08-07,8:30:00,2019-08-07,9:30:00,FALSE,Software Engineering,LT 202,FALSE
CS 261 (L),2019-08-07,9:30:00,2019-08-07,10:30:00,FALSE,Computer Networks,LT 202,FALSE
EL 302 (P),2019-08-07,11:30:00,2019-08-07,12:30:00,FALSE,Digital Image Processing,CSE LAB-I,FALSE
EL 302 (P),2019-08-07,12:30:00,2019-08-07,13:30:00,FALSE,Digital Image Processing,CSE LAB-I,FALSE
CS 4101 (L),2019-08-07,14:30:00,2019-08-07,15:30:00,FALSE,Linear & Non-Linear Optimisation,LT 212,FALSE
FIN 212 (L),2019-08-07,15:30:00,2019-08-07,16:30:00,FALSE,Indian Finance System,CR 112,FALSE
EL 302 (L),2019-08-08,9:30:00,2019-08-08,10:30:00,FALSE,Digital Image Processing,LT 211,FALSE
CS 332 (L),2019-08-08,10:30:00,2019-08-08,11:30:00,FALSE,Compiler Design,LT 212,FALSE
CS 301 (L),2019-08-08,11:30:00,2019-08-08,12:30:00,FALSE,Software Engineering,LT 222,FALSE
CS 261 (L),2019-08-08,12:30:00,2019-08-08,13:30:00,FALSE,Computer Networks,LT 201,FALSE
CS 332 (L),2019-08-09,9:30:00,2019-08-09,10:30:00,FALSE,Compiler Design,LT 202,FALSE
CS 301 (P),2019-08-09,11:30:00,2019-08-09,12:30:00,FALSE,Software Engineering,FRL,FALSE
CS 301 (P),2019-08-09,12:30:00,2019-08-09,13:30:00,FALSE,Software Engineering,FRL,FALSE
CS 4101 (P),2019-08-09,14:30:00,2019-08-09,15:30:00,FALSE,Linear & Non-Linear Optimisation,SIMULATION LAB,FALSE
CS 4101 (P),2019-08-09,15:30:00,2019-08-09,16:30:00,FALSE,Linear & Non-Linear Optimisation,SIMULATION LAB,FALSE
CS 332 (P),2019-08-12,8:30:00,2019-08-12,9:30:00,FALSE,Compiler Design,CSE LAB-I,FALSE
CS 332 (P),2019-08-12,9:30:00,2019-08-12,10:30:00,FALSE,Compiler Design,CSE LAB-I,FALSE
CS 4101 (L),2019-08-12,10:30:00,2019-08-12,11:30:00,FALSE,Linear & Non-Linear Optimisation,LT 202,FALSE
CS 261 (P),2019-08-12,11:30:00,2019-08-12,12:30:00,FALSE,Computer Networks,FRL,FALSE
CS 261 (P),2019-08-12,12:30:00,2019-08-12,13:30:00,FALSE,Computer Networks,FRL,FALSE
EL 302 (L),2019-08-12,14:30:00,2019-08-12,15:30:00,FALSE,Digital Image Processing,LT 212,FALSE
CS 261 (L),2019-08-13,10:30:00,2019-08-13,11:30:00,FALSE,Computer Networks,LT 211,FALSE
CS 332 (L),2019-08-13,11:30:00,2019-08-13,12:30:00,FALSE,Compiler Design,LT 201,FALSE
CS 4101 (L),2019-08-13,12:30:00,2019-08-13,13:30:00,FALSE,Linear & Non-Linear Optimisation,LT 212,FALSE
CS 301 (L),2019-08-13,14:30:00,2019-08-13,15:30:00,FALSE,Software Engineering,LT 211,FALSE
EL 302 (L),2019-08-13,15:30:00,2019-08-13,16:30:00,FALSE,Digital Image Processing,LT 212,FALSE
FIN 212 (L),2019-08-13,16:30:00,2019-08-13,17:30:00,FALSE,Indian Finance System,CR 111,FALSE
CS 301 (L),2019-08-14,8:30:00,2019-08-14,9:30:00,FALSE,Software Engineering,LT 202,FALSE
CS 261 (L),2019-08-14,9:30:00,2019-08-14,10:30:00,FALSE,Computer Networks,LT 202,FALSE
EL 302 (P),2019-08-14,11:30:00,2019-08-14,12:30:00,FALSE,Digital Image Processing,CSE LAB-I,FALSE
EL 302 (P),2019-08-14,12:30:00,2019-08-14,13:30:00,FALSE,Digital Image Processing,CSE LAB-I,FALSE
CS 4101 (L),2019-08-14,14:30:00,2019-08-14,15:30:00,FALSE,Linear & Non-Linear Optimisation,LT 212,FALSE
FIN 212 (L),2019-08-14,15:30:00,2019-08-14,16:30:00,FALSE,Indian Finance System,CR 112,FALSE
EL 302 (L),2019-08-15,9:30:00,2019-08-15,10:30:00,FALSE,Digital Image Processing,LT 211,FALSE
CS 332 (L),2019-08-15,10:30:00,2019-08-15,11:30:00,FALSE,Compiler Design,LT 212,FALSE
CS 301 (L),2019-08-15,11:30:00,2019-08-15,12:30:00,FALSE,Software Engineering,LT 222,FALSE
CS 261 (L),2019-08-15,12:30:00,2019-08-15,13:30:00,FALSE,Computer Networks,LT 201,FALSE
CS 332 (L),2019-08-16,9:30:00,2019-08-16,10:30:00,FALSE,Compiler Design,LT 202,FALSE
CS 301 (P),2019-08-16,11:30:00,2019-08-16,12:30:00,FALSE,Software Engineering,FRL,FALSE
CS 301 (P),2019-08-16,12:30:00,2019-08-16,13:30:00,FALSE,Software Engineering,FRL,FALSE
CS 4101 (P),2019-08-16,14:30:00,2019-08-16,15:30:00,FALSE,Linear & Non-Linear Optimisation,SIMULATION LAB,FALSE
CS 4101 (P),2019-08-16,15:30:00,2019-08-16,16:30:00,FALSE,Linear & Non-Linear Optimisation,SIMULATION LAB,FALSE
CS 332 (P),2019-08-19,8:30:00,2019-08-19,9:30:00,FALSE,Compiler Design,CSE LAB-I,FALSE
CS 332 (P),2019-08-19,9:30:00,2019-08-19,10:30:00,FALSE,Compiler Design,CSE LAB-I,FALSE
