Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
CS 3112 (L),2020-01-22,9:30:00,2020-01-22,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-01-22,10:30:00,2020-01-22,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
MGT 401 (L),2020-01-22,14:30:00,2020-01-22,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
MGT 401 (L),2020-01-23,8:30:00,2020-01-23,9:30:00,FALSE,Entrepreneurship,LT 212,FALSE
DS 412 (P),2020-01-23,11:30:00,2020-01-23,12:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-01-23,12:30:00,2020-01-23,13:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 3112 (P),2020-01-23,14:30:00,2020-01-23,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-23,15:30:00,2020-01-23,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-23,16:30:00,2020-01-23,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
DS 412 (P),2020-01-24,8:30:00,2020-01-24,9:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-01-24,9:30:00,2020-01-24,10:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 392 (P),2020-01-24,10:30:00,2020-01-24,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-24,11:30:00,2020-01-24,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-24,12:30:00,2020-01-24,13:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 3112 (P),2020-01-24,14:30:00,2020-01-24,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-24,15:30:00,2020-01-24,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-24,16:30:00,2020-01-24,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
MGT 401 (L),2020-01-27,15:30:00,2020-01-27,16:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 392 (P),2020-01-28,9:30:00,2020-01-28,10:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-28,10:30:00,2020-01-28,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-28,11:30:00,2020-01-28,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-01-28,14:30:00,2020-01-28,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
CS 392 (L),2020-01-28,15:30:00,2020-01-28,16:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-01-29,9:30:00,2020-01-29,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-01-29,10:30:00,2020-01-29,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
MGT 401 (L),2020-01-29,14:30:00,2020-01-29,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
MGT 401 (L),2020-01-30,8:30:00,2020-01-30,9:30:00,FALSE,Entrepreneurship,LT 212,FALSE
DS 412 (P),2020-01-30,11:30:00,2020-01-30,12:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
DS 412 (P),2020-01-30,12:30:00,2020-01-30,13:30:00,FALSE,Inferential Statistics for Data Science,FRL,FALSE
CS 3112 (P),2020-01-30,14:30:00,2020-01-30,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-30,15:30:00,2020-01-30,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-30,16:30:00,2020-01-30,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
