Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
CS 392 (P),2020-01-28,11:30:00,2020-01-28,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-01-28,14:30:00,2020-01-28,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
MFIN 006 (L),2020-01-28,16:30:00,2020-01-28,17:30:00,FALSE,Financial Instruments and Markets,CR 111,FALSE
CS 392 (L),2020-01-29,8:30:00,2020-01-29,9:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-01-29,9:30:00,2020-01-29,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-01-29,10:30:00,2020-01-29,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
DS 412 (P),2020-01-29,11:30:00,2020-01-29,12:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
DS 412 (P),2020-01-29,12:30:00,2020-01-29,13:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
MGT 401 (L),2020-01-29,14:30:00,2020-01-29,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 491 (L),2020-01-30,10:30:00,2020-01-30,11:30:00,FALSE,Natural Language Processing,LT 202,FALSE
CS 491 (P),2020-01-30,11:30:00,2020-01-30,12:30:00,FALSE,Natural Language Processing,FRL,FALSE
CS 491 (P),2020-01-30,12:30:00,2020-01-30,13:30:00,FALSE,Natural Language Processing,FRL,FALSE
CS 3112 (P),2020-01-30,14:30:00,2020-01-30,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-30,15:30:00,2020-01-30,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-30,16:30:00,2020-01-30,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
DS 412 (P),2020-01-31,8:30:00,2020-01-31,9:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
DS 412 (P),2020-01-31,9:30:00,2020-01-31,10:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
CS 392 (P),2020-01-31,10:30:00,2020-01-31,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-31,11:30:00,2020-01-31,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-01-31,12:30:00,2020-01-31,13:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 3112 (P),2020-01-31,14:30:00,2020-01-31,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-31,15:30:00,2020-01-31,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-01-31,16:30:00,2020-01-31,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
MFIN 006 (L),2020-02-03,11:30:00,2020-02-03,12:30:00,FALSE,Financial Instruments and Markets,CR 112,FALSE
CS 491 (L),2020-02-03,12:30:00,2020-02-03,13:30:00,FALSE,Natural Language Processing,LT 212,FALSE
MGT 401 (L),2020-02-03,15:30:00,2020-02-03,16:30:00,FALSE,Entrepreneurship,LT 221,FALSE
MGT 401 (L),2020-02-03,16:30:00,2020-02-03,17:30:00,FALSE,Entrepreneurship,LT 221,FALSE
CS 491 (L),2020-02-04,8:30:00,2020-02-04,9:30:00,FALSE,Natural Language Processing,LT 201,FALSE
CS 392 (P),2020-02-04,9:30:00,2020-02-04,10:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-04,10:30:00,2020-02-04,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-04,11:30:00,2020-02-04,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
DS 412 (L),2020-02-04,14:30:00,2020-02-04,15:30:00,FALSE,Inferential Statistics for Data Science,LT 212,FALSE
MFIN 006 (L),2020-02-04,16:30:00,2020-02-04,17:30:00,FALSE,Financial Instruments and Markets,CR 111,FALSE
CS 392 (L),2020-02-05,8:30:00,2020-02-05,9:30:00,FALSE,Capstone Project I,LT 201,FALSE
CS 3112 (L),2020-02-05,9:30:00,2020-02-05,10:30:00,FALSE,Multi-Device Programming,LT 201,FALSE
DS 412 (L),2020-02-05,10:30:00,2020-02-05,11:30:00,FALSE,Inferential Statistics for Data Science,LT 202,FALSE
DS 412 (P),2020-02-05,11:30:00,2020-02-05,12:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
DS 412 (P),2020-02-05,12:30:00,2020-02-05,13:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
MGT 401 (L),2020-02-05,14:30:00,2020-02-05,15:30:00,FALSE,Entrepreneurship,LT 202,FALSE
CS 491 (L),2020-02-06,10:30:00,2020-02-06,11:30:00,FALSE,Natural Language Processing,LT 202,FALSE
CS 491 (P),2020-02-06,11:30:00,2020-02-06,12:30:00,FALSE,Natural Language Processing,FRL,FALSE
CS 491 (P),2020-02-06,12:30:00,2020-02-06,13:30:00,FALSE,Natural Language Processing,FRL,FALSE
CS 3112 (P),2020-02-06,14:30:00,2020-02-06,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-06,15:30:00,2020-02-06,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-06,16:30:00,2020-02-06,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
DS 412 (P),2020-02-07,8:30:00,2020-02-07,9:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
DS 412 (P),2020-02-07,9:30:00,2020-02-07,10:30:00,FALSE,Inferential Statistics for Data Science,CSE LAB-I,FALSE
CS 392 (P),2020-02-07,10:30:00,2020-02-07,11:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-07,11:30:00,2020-02-07,12:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 392 (P),2020-02-07,12:30:00,2020-02-07,13:30:00,FALSE,Capstone Project I,CSE LAB-I,FALSE
CS 3112 (P),2020-02-07,14:30:00,2020-02-07,15:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-07,15:30:00,2020-02-07,16:30:00,FALSE,Multi-Device Programming,FRL,FALSE
CS 3112 (P),2020-02-07,16:30:00,2020-02-07,17:30:00,FALSE,Multi-Device Programming,FRL,FALSE
MFIN 006 (L),2020-02-10,11:30:00,2020-02-10,12:30:00,FALSE,Financial Instruments and Markets,CR 112,FALSE
